name,score,document_length,url_count,dram,flash,led,memory,sram
Ningbo WanHao Holdings Co Ltd,0.0001070764286460078,3343,2,0,1,1,0,0
Tamagawa Holdings Co Ltd,0.00010494295464939611,2118,1,0,1,0,0,0
Shenzhen Mason Technologies Co Ltd,0.00010447957340365301,2838,6,0,0,128,0,0
YMC Co Ltd,0.00010415760997924844,6220,12,0,2,13,0,0
Ilya Co Ltd,9.985648588810662e-05,2470,1,0,1,0,0,0
Suzhou Anjie Technology Co Ltd,9.895338673301036e-05,1810,1,0,1,0,0,0
Raygen Co Ltd,9.885575139918834e-05,2238,1,0,1,0,0,0
Toyo Machinery Metal Co Ltd,9.670650845898771e-05,4425,4,0,1,4,0,0
"Shin Zu Shing Co., Ltd.",9.484093229042035e-05,2154,1,0,1,0,0,0
ZJ Sunflower Light Energy Science&Tech,8.954109277388488e-05,5277,4,0,1,6,0,0
Sintek Photronic Corp.,8.7146511351936e-05,2843,3,0,1,2,0,0
Alltronics Holdings Limited,8.686996337878485e-05,2455,3,0,1,2,0,0
Shenzhen Huakong Seg Co Ltd,8.126939746804642e-05,2896,1,0,1,0,0,0
CPT Technology (Group) Co Ltd,7.709438203586085e-05,3069,2,0,1,2,0,0
Inzi Display Co Ltd,7.565862548576378e-05,2864,1,0,1,0,0,0
Fujian Haiyuan Automatic Eqpmnts Co Ltd,7.375302555160445e-05,2573,1,0,1,0,0,0
Serial System Ltd (TDR),7.306787075900275e-05,9259,6,0,2,6,0,0
"IRICO Group Electronics Co., Ltd.",7.251848127539303e-05,3186,3,0,1,2,0,0
Waffer Technology Corp,6.926238352958793e-05,3280,2,0,1,2,0,0
"Toshin Group Co., Ltd.",6.902595949492215e-05,3254,1,0,1,0,0,0
Vissem Electronics Co Ltd,6.680280523264921e-05,2016,6,0,0,50,0,0
CVD Equipment Corporation,6.563428275499246e-05,8782,7,0,1,24,0,0
Merdeka Mobile Group Ltd,6.507294713920892e-05,2727,3,0,1,2,0,0
Naigai Tec Corporation,6.413361430115938e-05,3741,2,0,1,2,0,0
"Surge Components, Inc.",5.7538744137201535e-05,3400,3,0,1,2,0,0
"MITACHI CO., LTD",5.455141847986425e-05,4036,1,0,1,0,0,0
Solargiga Energy Holdings Ltd,5.3846265066970407e-05,4038,3,0,1,2,0,0
"LG Innotek Co., Ltd.",5.183699725537062e-05,1885,3,0,0,41,0,0
Samjin LND Co Ltd,4.256271304232367e-05,1814,5,0,0,30,0,0
Beijing Honggao Cretv Constn Dsgn Co Ltd,4.2079360577524946e-05,4752,1,0,1,0,0,0
Shenzhen Sunshine Lsr& Elcts Tech Co Ltd,3.302356964074927e-05,11196,6,0,2,6,0,0
"MARUWA CO., LTD.",2.6797631688467452e-05,2861,11,0,0,36,0,0
DI Corp,2.609824702853725e-05,13683,4,0,1,4,0,0
Forward Electronics Co Ltd,2.5838507601053698e-05,2149,6,0,0,21,0,0
BOTHHAND ENTERPRISE INC.,2.5476148213240886e-05,4459,6,0,0,49,0,0
Globetronics Technology Berhad,2.4908004039441883e-05,2057,8,0,0,16,0,0
Veeco Instruments Inc.,2.365230296581177e-05,1839,4,0,0,17,0,0
Inrad Optics Inc,2.1309508907144072e-05,5257,5,0,0,32,0,0
Beijing Triolion Scnc & Technlgy Co Ltd,1.9284521337033063e-05,2594,7,0,0,21,0,0
NIPPO LTD.,1.5614320659595414e-05,1804,3,0,0,9,0,0
Jenoptik AG,1.5158509097055383e-05,5384,11,0,0,32,0,0
Taiwan Thick-Film Ind Corp,1.486397927814201e-05,1115,5,0,0,7,0,0
Hansol Technics Co Ltd,1.4833347229868105e-05,3203,5,0,0,17,0,0
"Micropac Industries, Inc.",1.4398299284298785e-05,3818,7,0,0,17,0,0
E&R Engineering Corp,1.4033889298898667e-05,3653,6,0,0,14,0,0
"Beijing Sevenstar Electronics Co., Ltd.",1.3744307924237633e-05,2731,3,0,0,12,0,0
MiCo Ltd,1.320067675067515e-05,1974,4,0,0,10,0,0
"New Japan Radio Co., Ltd.",1.2911479304119693e-05,5930,12,0,0,29,0,0
Hicel Co Ltd,1.285909234361547e-05,2996,5,0,0,12,0,0
"KH Vatec Co., Ltd.",1.2808259059364301e-05,3318,6,0,0,13,0,0
DISCO CORPORATION,1.2738355608518685e-05,4094,8,0,0,15,0,0
"First Solar, Inc.",1.2674797515626681e-05,5689,10,0,0,27,0,0
"Amtech Systems, Inc.",1.2059119918286966e-05,863,1,0,0,5,0,0
"NADEX CO., LTD.",1.2028491795965635e-05,2309,4,0,0,9,0,0
Wooriro Co Ltd,1.1746784967152608e-05,4008,6,0,0,15,0,0
Enphase Energy Inc,1.1553297102557684e-05,7301,6,0,0,26,0,0
Ultra Clean Holdings Inc,1.146927180204333e-05,5970,7,0,0,19,0,0
"Chien Wei Precise Technology Co., Ltd.",1.1358677079807065e-05,3446,3,0,0,15,0,0
Mycronic publ AB,1.1242787993115742e-05,4712,5,0,0,16,0,0
Lite-On Semiconductor Group,1.1157566702403102e-05,2384,3,0,0,11,0,0
SHINKAWA LTD.,1.0852926193993113e-05,1669,2,0,0,6,0,0
"AMINOLOGICS CO.,LTD.",1.0286408624932015e-05,4803,4,0,0,15,0,0
SunPower Corporation,9.958994841010962e-06,7232,5,0,0,25,0,0
Young Optics Inc.,9.911767801562305e-06,1984,7,0,0,10,0,0
Riber SA,9.749059181810874e-06,2440,4,0,0,8,0,0
DAISHINKU CORP.,9.725573892182673e-06,2154,3,0,0,8,0,0
Anpec Electronics Corporation,9.607984237346338e-06,3259,8,0,0,13,0,0
GoerTek Inc.,8.887484842161758e-06,2766,6,0,0,9,0,0
"Ultratech, Inc.",8.77650127715698e-06,5758,9,0,0,23,0,0
"Weltrend Semiconductor, Inc.",8.306299508392598e-06,3786,7,0,0,12,0,0
Podak Co Ltd,7.925667380897888e-06,2605,6,0,0,9,0,0
Jeng Shiang Precision Ind Co Ltd,7.800555803779392e-06,8750,8,0,0,28,0,0
Salora International Ltd (Parent),7.698860003570509e-06,4802,4,0,0,11,0,0
Genesys Logic Inc,7.688157127934631e-06,2874,5,0,0,10,0,0
TrueLight Corporation,7.600260428215107e-06,1703,2,0,0,5,0,0
Glory Science Co Ltd,7.595335745527294e-06,2582,4,0,0,8,0,0
YOUNYI Information Communication,7.474829146672883e-06,2857,3,0,0,7,0,0
Vietnam Electric Cable Corp,7.4745467721253634e-06,3674,3,0,0,10,0,0
Topsil Semiconductor Materials A/S,7.468504358813855e-06,4398,8,0,0,12,0,0
Wafer Works Corp.,7.457991633462734e-06,3337,4,0,0,12,0,0
"VITEC CO., LTD.",7.382221268778693e-06,2305,6,0,0,8,0,0
Hexatronic Group AB,7.150829822307147e-06,2945,4,0,0,9,0,0
OEM International AB,7.1202520520727436e-06,4472,3,0,0,12,0,0
Liyu Technology Co Ltd,7.095307514320289e-06,4137,4,0,0,13,0,0
Daetwyler Fuehrungs AG,6.716686219945916e-06,4513,5,0,0,8,0,0
Inission AB,6.709456759133936e-06,4030,10,0,0,13,0,0
"Agilysys, Inc.",6.559708171057346e-06,5017,4,0,0,9,0,0
JHM Consolidation Berhad,6.450205528915148e-06,3295,5,0,0,6,0,0
Premier Farnell plc,6.362315832426114e-06,4970,7,0,0,9,0,0
Ace Hightech Co Ltd,6.286929370206134e-06,3177,3,0,0,6,0,0
APAC Opto Electronics Inc.,6.14979899049991e-06,2245,3,0,0,6,0,0
Daetwyler Holding AG,6.09257338759884e-06,3512,5,0,0,6,0,0
SFC Energy AG,6.055083432662838e-06,4450,5,0,0,9,0,0
Sakae Electronics Corporation,5.994974743533944e-06,3983,3,0,0,7,0,0
EMCORE Corporation,5.890040514237789e-06,3485,5,0,0,7,0,0
"HAGIWARA ELECTRIC CO., LTD.",5.723828985259768e-06,2700,3,0,0,6,0,0
Mikuni Shoji Co Ltd,5.625476701084415e-06,3819,4,0,0,6,0,0
"Fine DNC Co., Ltd.",5.618709377473426e-06,3463,2,0,0,6,0,0
KANADEN CORPORATION,5.585667346715485e-06,2533,3,0,0,4,0,0
DK UIL Co Ltd,5.56420958252627e-06,4461,5,0,0,8,0,0
AIA Engineering Ltd (Parent),5.543546230149705e-06,3743,4,0,0,6,0,0
"Techno Alpha Co., Ltd.",5.457580609879853e-06,2931,4,0,0,5,0,0
Solarpro Holding AD Sofia,5.394749504572497e-06,4038,3,0,0,7,0,0
Excelpoint Technology Ltd,5.243055273586673e-06,3165,5,0,0,5,0,0
Rigidtech Microelectronics Corp,5.20995495571408e-06,1806,3,0,0,4,0,0
Chengdu Bikong Science & Technology Co,4.790274287957716e-06,4915,5,0,0,9,0,0
Solacia Inc.,4.752716749227775e-06,1958,2,0,0,3,0,0
TAIWAN OSTOR CORP.,4.6795115683682834e-06,3064,2,0,0,4,0,0
Shuz Tung Machinery Industrial Co Ltd,4.621347510005909e-06,2096,3,0,0,4,0,0
Okmetic Oyj,4.524618318374224e-06,3996,4,0,0,8,0,0
Castech Inc,4.523419990252265e-06,2728,3,0,0,4,0,0
Hana Microelectronics Public Co. Ltd.,4.497538903001705e-06,2168,2,0,0,4,0,0
Freund Corporation,4.489602301652493e-06,3223,3,0,0,5,0,0
Dalian Rubber & Plastics Machinery,4.452637607095329e-06,2225,5,0,0,5,0,0
Yangzhou Yangjie Electrnc Tchnlgy Co Ltd,4.451327073793406e-06,2170,3,0,0,4,0,0
PLA Co Ltd,4.310750876143338e-06,2378,2,0,0,4,0,0
LG International Corp,4.28406977516256e-06,3388,4,0,0,6,0,0
Browave Corp,4.103623242539461e-06,1874,4,0,0,4,0,0
Core Logic Inc.,4.073552875104383e-06,7648,6,0,0,11,0,0
GigOptix Inc,4.024720655004788e-06,5242,2,0,0,6,0,0
Solar A/S,3.996058065768646e-06,2421,4,0,0,4,0,0
Malmbergs Elektriska AB,3.993434405845468e-06,2585,2,0,0,3,0,0
Di-Nikko Engineering Co Ltd,3.901557057530827e-06,2819,3,0,0,4,0,0
RORZE CORPORATION,3.849610288362762e-06,2705,2,0,0,3,0,0
"Miraial Co., Ltd.",3.8274438727921815e-06,2484,3,0,0,4,0,0
Ishii Hyoki Co Ltd,3.7435565742597777e-06,3009,3,0,0,4,0,0
Union Plus Technology Co Ltd,3.7386028613742405e-06,2643,4,0,0,4,0,0
GTM Holdings Corp,3.621917713398553e-06,3463,2,0,0,4,0,0
Nextchip Co Ltd,3.5823719345520514e-06,2683,4,0,0,4,0,0
"GEOMATEC CO., LTD.",3.0636832403270044e-06,4276,5,0,0,7,0,0
Gefran S.p.A.,3.0410716561003866e-06,4794,5,0,0,5,0,0
GSI Group Inc. (USA),3.029490656257746e-06,6103,5,0,0,5,0,0
"TDG Holding  Co., Ltd.",2.9538690546836233e-06,2868,1,0,0,3,0,0
AIA Engineering Ltd,2.8909150001881306e-06,3046,3,0,0,3,0,0
Cicor Technologies Ltd,2.889803868691709e-06,3495,1,0,0,3,0,0
Pierides Holdings Plc,2.791926761928291e-06,3881,2,0,0,3,0,0
Mclean Technologies Bhd,2.5003254099483438e-06,3818,2,0,0,3,0,0
"Fuhrmeister Electronics Co.,Ltd.",2.419024208492985e-06,3851,2,0,0,3,0,0
"CHIYODA INTEGRE CO., LTD.",2.3887841150690632e-06,2513,1,0,0,3,0,0
Norsat International Inc,2.3515031169705898e-06,5958,4,0,0,5,0,0
Tokai Electronics Co Ltd,2.2803414973077534e-06,2846,2,0,0,3,0,0
HCK Capital Group Bhd,2.150758838460884e-06,4628,2,0,0,3,0,0
Anixter International Inc.,1.913904843217561e-06,6898,6,0,0,9,0,0
Young Bag Micro Motor Co Ltd,1.49991398639084e-06,4950,4,0,0,4,0,0
"JMT CO.,Ltd.",1.1927085375881485e-06,1001,1,0,0,1,0,0
"SINBON ELECTRONICS CO., LTD.",1.1313096292709669e-06,873,1,0,0,1,0,0
Seronics Co Ltd,9.738688225823998e-07,1303,1,0,0,1,0,0
Power Logics,9.068715017117647e-07,1463,1,0,0,1,0,0
"TAI-SAW TECHNOLOGY CO., LTD.",8.902150361594977e-07,1423,1,0,0,1,0,0
Impact Coatings AB,7.821468846515528e-07,1716,1,0,0,1,0,0
Enertronica SpA,7.281001103182176e-07,1859,1,0,0,1,0,0
"AOI ELECTRONICS CO.,LTD.",7.217674547433625e-07,1894,1,0,0,1,0,0
Taitron Components Inc.,6.963300269902683e-07,1154,1,0,0,1,0,0
Muramoto Electron Thailand PCL,6.91822494665683e-07,2046,1,0,0,1,0,0
Avatec Co Ltd,6.612526767915597e-07,1870,1,0,0,1,0,0
"MAG.LAYERS Scientific-Technics Co.,Ltd.",5.888185678421035e-07,1704,1,0,0,1,0,0
MK Electron Co Ltd,5.648912942998217e-07,2788,1,0,0,1,0,0
Wiisol Co Ltd,5.639258605718532e-07,2248,1,0,0,1,0,0
Ipco International Limited,5.183489720715763e-07,3091,1,0,0,1,0,0
Tai Shing Electronics Components Corp,4.921343867807665e-07,2670,1,0,0,1,0,0
Taeyang Electronics Co Ltd,4.604881536755558e-07,2902,1,0,0,1,0,0
GuangDong Failong Crystal Techlgy Co Ltd,4.185810955805347e-07,2293,1,0,0,1,0,0
Kendrion NV,2.2696324693870445e-07,5592,1,0,0,1,0,0
